cod_infracao;des_infracao;des_abreviada;enquadramento;valor;qtd_pontos;tip_medicao;responsavel;fracao;valor_adicional;dat_fimvigencia;dat_iniciovigencia;fk_id_observacao_infracao
"56144";"Parar o veículo na pista de rolamento das demais vias dotadas de acostamento                                                                                                                                                                                                                                                                                                                                    ";"Parar o veículo na pista de rolamento das demais vias dotadas de acostamento";"182-V";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"56220";"Parar o veículo no passeio, sobre faixa destinada a pedestre, nas ilhas, refúgios, canteiros centrais e divisores de pista de rolamento e marcas de canalização                                                                                                                                                                                                                                                 ";"Parar o veículo no passeio, sobre faixa destinada a pedestre, nas ilhas, refúgio";"182 VI";53.20;3;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56221";"Para o veículo no passeio                                                                                                                                                                                                                                                                                                                                                                                       ";"Para o veículo no passeio";"182 VI";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"56222";"Para o veículo sobre a faixa destinada a pedestres                                                                                                                                                                                                                                                                                                                                                              ";"Para o veículo sobre a faixa destinada a pedestres";"182 VI";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"56223";"Para o veículo nas ilhas                                                                                                                                                                                                                                                                                                                                                                                        ";"Para o veículo nas ilhas";"182 VI";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"56224";"Parar  nos canteiros centrais/divisores de pista de rolamento                                                                                                                                                                                                                                                                                                                                                   ";"Parar  nos canteiros centrais/divisores de pista de rolamento";"182 VI";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"57540";"REVOGADO PELA LEI 9.602/98 ******** ********#                                                                                                                                                                                                                                                                                                                                                                   ";"REVOGADO PELA LEI 9.602/98 ******** ********#";"9.602/98";0.00;0;(null);(null);(null);(null);"2008-01-22";(null);(null)
"56225";"Parar  em marcas de canalização                                                                                                                                                                                                                                                                                                                                                                                 ";"Parar  em marcas de canalização";"182 VI";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"57621";"Transitar ao lado de outro veículo interrompendo o trânsito                                                                                                                                                                                                                                                                                                                                                     ";"Transitar ao lado de outro veículo interrompendo o trânsito";"188";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"57622";"Transitar ao lado de outro veículo perturbando o trânsito                                                                                                                                                                                                                                                                                                                                                       ";"Transitar ao lado de outro veículo perturbando o trânsito";"188";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56226";"Para o veículo nos divisores de pistas de rolamento                                                                                                                                                                                                                                                                                                                                                             ";"Para o veículo nos divisores de pistas de rolamento";"182 VI";53.20;3;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56227";"Parar o veículo nas marcas de canalização                                                                                                                                                                                                                                                                                                                                                                       ";"Parar o veículo nas marcas de canalização";"182 VI";53.20;3;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56300";"Parar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres                                                                                                                                                                                                                                                                                                                ";"Parar o veículo na área de cruzamento de vias, prejudicando a circulação de veíc";"182 VII";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56301";"Parar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos                                                                                                                                                                                                                                                                                                                            ";"Parar o veículo na área de cruzamento de vias, prejudicando a circulação de veíc";"182 VII";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56302";"Parar o veículo na área de cruzamento de vias, prejudicando a circulação de pedestres                                                                                                                                                                                                                                                                                                                           ";"Parar o veículo na área de cruzamento de vias, prejudicando a circulação de pede";"182 VII";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56490";"Parar os veículos nos viadutos, pontes e túneis                                                                                                                                                                                                                                                                                                                                                                 ";"Parar os veículos nos viadutos, pontes e túneis";"182 VIII";85.13;4;(null);"C";(null);(null);"2008-02-15";(null);(null)
"56491";"Parar o veículo nos viadutos                                                                                                                                                                                                                                                                                                                                                                                    ";"Parar o veículo nos viadutos";"182 VIII";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56492";"Parar o veículo nas pontes                                                                                                                                                                                                                                                                                                                                                                                      ";"Parar o veículo nas pontes";"182 VIII";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56493";"Parar o veículo nos túneis                                                                                                                                                                                                                                                                                                                                                                                      ";"Parar o veículo nos túneis";"182 VIII";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56570";"Para o veículo na contra mão de direção                                                                                                                                                                                                                                                                                                                                                                         ";"Para o veículo na contra mão de direção";"182 IX";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56650";"Parar o veículo em local e horário proibido especificamente pela sinalização                                                                                                                                                                                                                                                                                                                                    ";"Parar o veículo em local e horário proibido especificamente pela sinalização";"182 X";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56730";"Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso                                                                                                                                                                                                                                                                                                                                          ";"Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso";"183";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56731";"Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso                                                                                                                                                                                                                                                                                                                                          ";"Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso";"183";85.13;4;(null);"C";0.00;0.00;(null);(null);(null)
"56732";"Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso ? fiscalização eletrônica                                                                                                                                                                                                                                                                                                                ";"Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso ? fiscali";"183";85.13;4;(null);"C";0.00;0.00;(null);(null);(null)
"56810";"Transitar com o veículo na faixa ou na pista da direita regulamentada como de circulação exclusiva para determinado tipo de veículo, exceto para acesso a imóveis lindeiros ou conversões a direita                                                                                                                                                                                                             ";"Transitar com o veículo na faixa ou na pista da direita regulamentada como de ci";"184 I";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"56811";"Transitar com o veículo na faixa da direita regulamentada como de circulação exclusiva para determinado tipo de veículo, exceto para acesso a imóveis lindeiros ou conversões a direita                                                                                                                                                                                                                         ";"Transitar com o veículo na faixa da direita regulamentada como de circulação exc";"184 I";53.20;3;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56812";"Transitar com o veículo na pista da direita regulamentada como de circulação exclusiva para determinado tipo de veículo, exceto para acesso a imóveis lindeiros ou conversões a direita                                                                                                                                                                                                                         ";"Transitar com o veículo na pista da direita regulamentada como de circulação exc";"184 I";53.20;3;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56900";"Transitar co o veículo na faixa ou pista da esquerda regulamentada como de circulação exclusiva para determinado tipo de veículo                                                                                                                                                                                                                                                                                ";"Transitar co o veículo na faixa ou pista da esquerda regulamentada como de circu";"184 II";127.69;5;(null);"C";(null);(null);(null);(null);(null)
